code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
002060,粤 水 电,建筑施工,广东,47.93,0.043,1.79,2.29,2.06099,4.0991,3.734612977258502,2.59,5.05,0.77,1.87
000691,ST亚太,区域地产,甘肃,0.0,-0.012,32.24,0.24,-0.0,7.7376000000000005,,0.15,2.51,,-4.92
300090,盛运环保,环境保护,安徽,135.27,0.042,2.86,3.97,5.6813400000000005,11.3542,2.1142899386412357,2.9,,0.13,1.06
300081,恒信东方,通信设备,河北,53.34,0.13,3.01,4.22,6.934200000000001,12.702199999999998,5.643044619422572,,0.66,,3.71
300023,宝德股份,专用机械,陕西,47.8,0.138,3.83,3.44,6.5964,13.1752,8.01255230125523,3.52,6.2,0.43,4.09
600791,京能置业,全国地产,北京,829.37,0.006999999999999999,3.48,3.39,5.80559,11.7972,0.419595596657704,1.81,3.07,0.41,0.21
002851,麦格米特,电气设备,深圳,81.96,0.28,6.1,6.91,22.948800000000002,42.150999999999996,7.442654953635921,,17.27,1.76,4.45
300647,超频三,元器件,深圳,73.69,0.21,5.84,4.23,15.474899999999998,24.703200000000002,7.925091599945719,,21.82,3.09,
603330,上海天洋,塑料,上海,154.37,0.15,4.45,9.73,23.1555,43.298500000000004,2.8826844594156893,,15.97,1.18,1.63
300549,优德精密,专用机械,江苏,49.78,0.306,8.74,3.48,15.23268,30.415200000000002,17.557251908396946,18.01,21.04,4.32,8.92
600801,华新水泥,水泥,湖北,15.49,0.486,2.14,7.05,7.52814,15.087,13.81536475145255,1.66,4.61,0.95,
300689,澄天伟业,元器件,深圳,75.01,0.391,10.14,5.79,29.328910000000004,58.71060000000001,13.518197573656845,,17.52,,9.45
002261,拓维信息,互联网,湖南,41.79,0.117,2.77,3.52,4.88943,9.7504,6.628379995214166,4.51,5.78,1.83,3.37
600961,株冶集团,铅锌,湖南,405.7,0.013,34.45,0.31,5.2741,10.6795,8.49149617944294,22.26,14.55,2.0,4.26
002508,老板电器,家用电器,浙江,34.23,0.63,9.31,4.63,21.564899999999998,43.1053,27.19836400817996,20.61,,,13.69
300687,赛意信息,软件服务,广东,61.56,0.63,11.68,4.95,38.7828,57.816,18.973359324236515,,36.47,5.55,11.9
300623,捷捷微电,半导体,江苏,51.86,0.7759999999999999,6.56,12.28,40.243359999999996,80.5568,12.649440802159662,,25.88,3.8,
300134,大富科技,通信设备,深圳,0.0,-0.115,2.51,7.49,-0.0,18.799899999999997,,1.94,3.72,,-1.53
600104,上汽集团,汽车整车,上海,11.1,1.38,1.72,17.62,15.317999999999998,30.3064,15.495495495495495,12.79,17.53,4.0,
002745,木林森,半导体,广东,40.47,0.579,4.53,10.35,23.432129999999997,46.8855,11.193476649369904,8.56,,2.49,5.66
002635,安洁科技,电脑设备,江苏,87.0,0.28,8.48,4.55,24.360000000000003,38.584,9.74712643678161,,15.39,,6.25
002132,恒星科技,钢加工,河南,48.25,0.06,2.64,2.19,2.895,5.7816,5.471502590673575,4.55,,1.18,
002279,久其软件,软件服务,北京,89.82,0.071,3.83,3.34,6.377219999999999,12.7922,4.264083723001559,3.82,10.6,0.27,2.29
300274,阳光电源,电气设备,安徽,32.05,0.26,3.68,4.44,8.333,16.3392,11.482059282371296,8.36,12.6,2.15,5.94
600779,水井坊,白酒,四川,82.35,0.234,13.87,2.78,19.2699,38.5586,16.842744383727993,,16.29,6.08,7.5
300690,双一科技,矿物制品,山东,44.94,0.99,8.88,7.51,44.4906,66.6888,19.759679572763687,,30.97,,13.01
002326,永太科技,化工原料,浙江,29.24,0.268,4.77,3.29,7.83632,15.693299999999999,16.313269493844047,6.37,14.02,6.9,
002049,紫光国芯,元器件,河北,88.83,0.203,6.67,5.42,18.03249,36.1514,7.508724530001126,9.19,,1.65,
300686,智动力,元器件,深圳,92.59,0.22,10.85,2.84,20.3698,30.813999999999997,11.71832811318717,,19.22,3.19,6.04
300662,科锐国际,综合类,北京,65.23,0.24,7.19,3.24,15.6552,23.295600000000004,11.022535643108998,,21.83,nan,10.39
002290,中科新材,家用电器,江苏,69.77,0.13,3.43,5.09,9.0701,17.4587,4.916153074387273,3.24,3.01,,
300665,飞鹿股份,染料涂料,湖南,130.51,0.16,5.7,5.59,20.8816,31.863,4.3674814190483495,,15.84,nan,
002327,富安娜,纺织,深圳,24.2,0.19,2.71,3.25,4.598,8.8075,11.198347107438018,10.26,15.74,,5.73
300653,正海生物,医疗保健,山东,73.75,0.33,6.96,5.53,24.337500000000002,38.488800000000005,9.43728813559322,,22.49,3.35,7.7
600496,精工钢构,钢加工,安徽,81.88,0.037000000000000005,2.38,2.53,3.02956,6.021399999999999,2.9066927210552027,,3.0,,
300636,同和药业,化学制药,江西,43.34,0.48,4.74,7.51,20.8032,35.5974,10.936778957083524,,21.04,4.3,7.37
300255,常山药业,生物制药,河北,49.9,0.08900000000000001,3.63,2.46,4.4411000000000005,8.9298,7.274549098196393,,,1.91,3.68
300543,朗科智能,电气设备,深圳,63.09,0.58,31.59,1.35,36.5922,42.6465,50.07132667617689,21.7,19.92,,6.49
002878,元隆雅图,文教休闲,北京,43.92,0.61,6.65,6.41,26.7912,42.6265,15.141165755919854,,23.28,,12.87
300077,国民技术,半导体,深圳,99.85,0.079,2.9,5.41,7.8881499999999996,15.689,2.9043565348022033,1.65,3.52,0.73,1.48
300650,太龙照明,电气设备,福建,87.09,0.25,5.39,6.82,21.7725,36.7598,6.188999885176254,,20.31,1.74,4.5
300598,诚迈科技,软件服务,江苏,131.85,0.16,7.5,5.27,21.096,39.525,5.688282138794085,13.38,19.89,0.74,4.27
300122,智飞生物,生物制药,重庆,123.45,0.107,15.84,1.67,13.20915,26.4528,12.831105710814095,0.27,1.3,,
300588,熙菱信息,软件服务,新疆,132.91,0.15,12.64,3.15,19.9365,39.816,9.51019486870815,10.58,,0.08,
002886,沃特股份,塑料,深圳,81.46,0.226,4.78,7.7,18.409959999999998,36.806000000000004,5.867910630984532,,16.77,,3.69
300658,延江股份,纺织,福建,39.34,0.55,4.88,7.02,21.637000000000004,34.2576,12.404677173360446,,43.0,8.0,
300651,金陵体育,文教休闲,江苏,138.19,0.16,4.42,7.68,22.1104,33.9456,3.1984948259642523,,13.84,0.57,2.41
002799,环球印务,广告包装,陕西,136.65,0.086,6.95,3.39,11.7519,23.5605,5.0859860958653496,4.32,,1.17,
000636,风华高科,元器件,广东,39.92,0.125,1.99,5.01,4.99,9.969899999999999,4.984969939879759,2.32,2.87,,
600691,阳煤化工,农药化肥,山西,50.39,0.035,1.64,2.14,1.7636500000000002,3.5096,3.254614010716412,-17.86,,0.58,1.64
002679,福建金森,林业,福建,0.0,-0.17800000000000002,4.59,5.06,-0.0,23.225399999999997,,-0.87,3.5,,-3.0
300531,优博讯,软件服务,深圳,106.77,0.099,10.25,2.06,10.57023,21.115000000000002,9.600074927414068,,18.01,2.66,4.82
600530,交大昂立,医疗保健,上海,40.74,0.076,3.08,2.01,3.09624,6.190799999999999,7.560137457044673,7.78,7.84,2.02,3.6
000333,美的集团,家用电器,广东,13.3,1.67,4.34,10.17,22.211,44.1378,32.63157894736842,23.76,26.88,6.87,16.46
000951,中国重汽,汽车整车,山东,12.74,0.7140000000000001,2.34,7.77,9.09636,18.1818,18.36734693877551,4.91,,,9.43
600686,金龙汽车,汽车整车,福建,126.75,0.063,2.7,5.93,7.98525,16.011,2.1301775147928996,-2.69,-20.48,-1.5,
300628,亿联网络,通信设备,福建,37.02,4.67,8.8,34.4,172.88340000000002,302.72,23.77093462992977,,71.36,16.14,
000066,中国长城,电脑设备,深圳,46.16,0.097,4.0,2.24,4.47752,8.96,8.665511265164646,1.03,,2.45,4.5
002796,世嘉科技,专用机械,江苏,107.96,0.181,6.54,5.96,19.54076,38.9784,6.05779918488329,9.37,12.05,1.0,2.95
600827,百联股份,超市连锁,上海,22.28,0.355,1.68,9.38,7.9094,15.7584,7.5403949730700175,,5.64,2.16,
300405,科隆股份,化工原料,辽宁,90.93,0.122,2.77,8.02,11.09346,22.2154,3.0462993511492353,0.91,2.34,,1.53
300652,雷迪克,汽车配件,浙江,39.78,0.51,4.55,7.01,20.2878,31.8955,11.437908496732026,,,5.86,
000687,华讯方舟,通信设备,河北,81.88,0.08,7.36,1.86,6.5504,13.6896,8.98876404494382,10.36,13.13,,
300275,梅安森,软件服务,重庆,54.05,0.154,5.08,3.27,8.323699999999999,16.6116,9.398704902867715,,,3.2,4.82
300205,天喻信息,元器件,湖北,88.03,0.069,4.45,2.72,6.074070000000001,12.104000000000001,5.055094854027036,2.75,1.79,0.6,
300640,德艺文创,文教休闲,福建,59.58,0.3,8.91,3.36,17.874,29.9376,14.954682779456194,,41.58,,
002330,得利斯,食品,山东,1999.93,0.002,3.39,2.63,3.9998600000000004,8.9157,0.16950593270764477,1.06,,0.58,0.08
300129,泰胜风能,电气设备,上海,26.85,0.149,2.63,3.04,4.00065,7.9952,9.795158286778397,,10.67,,
