code,name,industry,area,pe,20162,20163,20164,20171,20172
300054,鼎龙股份,化工原料,湖北,32.18,7.27,10.57,12.85,,4.87
002362,汉王科技,电脑设备,北京,184.12,1.09,,2.83,1.17,2.53
000567,海德股份,区域地产,海南,64.59,0.52,,1.36,8.15,15.86
000705,浙江震元,医药商业,浙江,41.99,2.05,2.17,,,3.23
300401,花园生物,食品,浙江,55.86,2.19,,5.98,,9.56
300262,巴安水务,环境保护,上海,29.03,10.01,11.95,13.53,,
300479,神思电子,软件服务,山东,288.93,1.96,,5.1,,2.15
000760,斯太尔,汽车配件,湖北,33.38,-5.18,-6.51,,,5.78
000973,佛塑科技,塑料,广东,97.34,1.61,2.57,6.0,1.01,2.06
300592,华凯创意,软件服务,湖南,120.86,3.08,9.22,12.82,-0.01,2.58
600775,南京熊猫,通信设备,江苏,121.24,,,,,1.35
002089,新 海 宜,通信设备,江苏,89.57,,,1.45,0.68,2.91
600392,盛和资源,小金属,山西,119.32,,-5.66,-2.76,1.5,3.88
300673,佩蒂股份,饲料,浙江,44.58,,,22.26,3.43,
002601,龙蟒佰利,化工原料,河南,14.81,3.07,5.09,8.91,,
002128,露天煤业,煤炭开采,内蒙,10.59,3.85,,,7.09,10.58
002389,南洋科技,元器件,浙江,161.03,1.99,,3.63,0.72,1.58
000060,中金岭南,铅锌,深圳,27.67,,2.21,4.31,2.81,6.95
002879,长缆科技,电气设备,湖南,37.21,9.95,,17.42,3.21,9.12
002280,联络互动,软件服务,浙江,330.17,3.73,4.78,6.31,1.14,0.51
000670,盈方微,元器件,湖北,632.03,3.69,2.66,3.76,0.71,
002068,黑猫股份,化工原料,江西,20.9,-2.95,,4.68,2.55,10.06
002815,崇达技术,半导体,深圳,33.7,16.78,25.23,27.48,4.43,
002578,闽发铝业,铝,福建,200.58,,1.11,1.8,0.46,
002375,亚厦股份,装修装饰,浙江,35.58,2.27,,,1.03,2.45
300643,万通智控,汽车配件,浙江,95.52,7.96,,,3.84,
600251,冠农股份,农业综合,新疆,54.04,0.52,0.64,1.4,2.86,4.0
603228,景旺电子,元器件,深圳,34.22,16.96,nan,,5.15,10.56
600240,华业资本,全国地产,北京,9.29,6.97,,23.77,,13.84
300367,东方网力,电脑设备,北京,76.3,3.4,5.51,,1.57,3.2
300593,新雷能,电气设备,北京,92.73,7.01,11.17,13.02,1.07,
300677,英科医疗,医疗保健,山东,37.36,10.52,,18.8,,10.97
600657,信达地产,全国地产,北京,22.08,1.54,2.05,10.09,-1.49,2.68
300591,万里马,服饰,广东,148.67,5.0,nan,14.07,-0.85,4.58
000603,盛达矿业,铅锌,北京,55.32,6.59,9.97,11.8,,3.78
603500,祥和实业,运输设备,浙江,68.41,,,22.79,,
000923,河北宣工,工程机械,河北,0.0,-1.47,-7.71,,-1.15,-2.39
600119,长江投资,仓储物流,上海,167.62,8.39,,15.74,1.05,
600740,山西焦化,焦炭加工,山西,214.81,-4.52,-1.57,2.19,,0.97
000779,三毛派神,纺织,甘肃,41.33,-17.69,,6.19,-6.06,14.78
300035,中科电气,电气设备,湖南,104.09,1.83,2.47,,,2.68
603788,宁波高发,汽车配件,浙江,28.64,9.88,,20.72,7.03,13.56
603999,读者传媒,出版业,甘肃,90.01,,3.84,,,2.11
000970,中科三环,元器件,北京,70.19,3.86,,7.91,1.75,
600330,天通股份,元器件,浙江,42.98,2.61,3.03,3.1,1.49,
603612,索通发展,矿物制品,山东,40.5,nan,,6.46,,14.38
300489,中飞股份,铝,黑龙江,101.17,2.49,4.31,7.05,,
603797,联泰环保,环境保护,广东,73.59,4.24,,9.53,1.96,3.53
600183,生益科技,元器件,广东,21.32,,,15.65,5.47,10.45
603088,宁波精达,专用机械,浙江,156.86,2.54,4.52,4.65,1.52,2.26
002838,道恩股份,塑料,山东,53.74,10.25,14.55,18.39,,
300127,银河磁体,元器件,四川,32.79,4.99,7.95,11.12,,
300627,华测导航,通信设备,上海,99.79,8.61,,37.24,,6.97
300102,乾照光电,半导体,福建,32.7,-0.25,0.91,1.95,1.65,
002792,通宇通讯,通信设备,广东,47.34,8.2,10.11,13.02,,4.91
