code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
300274,阳光电源,电气设备,安徽,31.43,0.53,4.61,4.71,右边股价,21.7131,14.667515112949413,12.6,2.15,5.94,11.32
002287,奇正藏药,中成药,西藏,64.01,0.512,9.95,4.39,右边股价,43.680499999999995,15.544446180284327,,3.92,9.46,11.77
603939,益丰药房,医药商业,湖南,54.96,0.607,5.25,8.48,右边股价,44.52,9.552401746724891,,2.31,5.12,
002861,瀛通通讯,通信设备,湖北,51.16,0.57,4.18,8.31,右边股价,34.7358,8.170445660672401,20.07,,6.1,7.38
002020,京新药业,化学制药,浙江,29.92,0.39,2.72,4.97,右边股价,13.5184,9.09090909090909,9.24,,6.89,9.56
603929,亚翔集成,装修装饰,江苏,56.26,0.479,8.03,4.48,右边股价,35.9744,14.2730181301102,,,8.8,11.07
600808,马钢股份,普钢,安徽,9.17,0.35600000000000004,1.49,2.92,右边股价,4.3508,16.24863685932388,6.43,4.46,7.98,12.96
300253,卫宁健康,软件服务,上海,69.53,0.083,4.99,1.55,右边股价,7.734500000000001,7.17675823385589,,1.09,3.74,5.56
002439,启明星辰,软件服务,北京,321.88,0.061,8.64,3.05,右边股价,26.352,2.684230147881198,12.69,-0.25,-0.01,2.01
000913,钱江摩托,摩托车,浙江,136.12,0.113,3.81,5.36,右边股价,20.4216,2.799000881575081,15.21,0.88,2.1,
002873,新天药业,中成药,贵州,44.67,1.04,5.95,8.98,右边股价,53.431000000000004,13.319901499888067,22.74,5.08,8.76,14.29
600298,安琪酵母,食品,湖北,35.53,0.742,8.05,4.37,右边股价,35.17850000000001,22.65690965381368,16.47,6.34,12.01,17.73
600569,安阳钢铁,普钢,河南,8.55,0.408,1.91,2.43,右边股价,4.6413,22.339181286549707,2.59,-4.24,0.57,18.32
002884,凌霄泵业,专用机械,广东,30.27,2.1,4.61,14.82,右边股价,68.3202,15.229600264288075,25.66,,,18.62
002842,翔鹭钨业,小金属,广东,75.78,0.527,7.04,7.56,右边股价,53.2224,9.290050145157034,13.06,,5.36,7.43
