code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
000705,浙江震元,医药商业,浙江,42.46,0.128,2.69,4.03,5.434880000000001,10.8407,6.335374470089496,2.17,,,3.23
002388,新亚制程,元器件,深圳,48.75,0.13,4.14,2.42,6.3375,10.018799999999999,8.49230769230769,1.37,1.87,1.63,8.57
002629,仁智股份,石油开采,浙江,0.0,-0.034,5.14,1.6,-0.0,8.224,,-6.49,3.71,-2.15,-2.13
002549,凯美特气,环境保护,湖南,194.75,0.021,5.76,1.43,4.08975,8.236799999999999,2.957637997432606,1.12,2.43,0.59,1.49
002467,二六三,电信运营,北京,65.28,0.063,3.59,2.3,4.11264,8.257,5.4993872549019605,4.24,,1.63,
002048,宁波华翔,汽车配件,浙江,16.22,0.74,2.3,10.45,12.002799999999999,24.034999999999997,14.180024660912453,10.2,14.73,,7.33
002633,申科股份,机械基件,浙江,0.0,-0.015,4.34,3.42,-0.0,14.842799999999999,,,-4.87,-0.19,-0.45
002589,瑞康医药,医药商业,山东,21.7,0.342,3.05,4.87,7.4214,14.853499999999999,14.055299539170507,9.93,13.02,,7.24
600422,昆药集团,中成药,云南,22.12,0.273,2.62,4.61,6.038760000000001,12.0782,11.844484629294755,9.76,11.9,2.62,
002869,金溢科技,通信设备,深圳,41.2,0.6,4.59,8.58,24.720000000000002,39.3822,11.140776699029125,,31.96,9.51,10.55
300408,三环集团,元器件,广东,47.23,0.249,7.8,3.01,11.760269999999998,23.477999999999998,16.51492695320771,17.1,22.41,4.44,
300444,双杰电气,电气设备,北京,212.82,0.06,7.21,3.13,12.7692,22.5673,3.3878394887698526,5.88,11.43,-1.93,1.94
300217,东方电热,电器仪表,江苏,63.58,0.03,2.62,1.44,1.9074,3.7728,4.120792702107581,2.33,2.51,,
002617,露笑科技,电气设备,浙江,35.23,0.218,4.68,3.28,7.680139999999999,15.350399999999999,13.284132841328415,,3.37,,
002101,广东鸿图,机械基件,广东,27.95,0.54,2.04,11.83,15.093,24.133200000000002,7.298747763864043,,8.8,,
000925,众合科技,专用机械,浙江,0.0,-0.08,3.08,5.68,-0.0,17.4944,,-2.17,,-1.42,
002444,巨星科技,轻工机械,浙江,33.41,0.234,2.9,5.37,7.817939999999999,15.573,8.680035917390004,9.01,11.92,1.86,4.38
002454,松芝股份,汽车配件,上海,26.99,0.271,2.16,6.79,7.31429,14.666400000000001,8.002964060763246,6.14,8.91,,4.03
000488,晨鸣纸业,造纸,山东,10.34,0.75,1.59,11.75,7.755,18.6825,15.377176015473887,8.8,9.59,3.67,7.24
600983,惠而浦,家用电器,安徽,0.0,-0.112,1.73,5.12,-0.0,8.8576,,5.5,7.53,2.63,
002005,德豪润达,家用电器,广东,0.0,-0.048,1.32,3.77,-0.0,4.9764,,0.33,0.57,-1.63,-1.16
300599,雄塑科技,塑料,广东,56.15,0.15,4.24,3.8,8.4225,16.112,7.55120213713268,11.45,15.7,,3.85
600104,上汽集团,汽车整车,上海,10.81,1.38,1.68,17.62,14.9178,29.6016,15.541165587419055,12.79,17.53,4.0,
002059,云南旅游,旅游景点,云南,196.0,0.026,4.98,2.05,5.096,10.209,2.5408163265306127,3.67,,,1.27
300295,三六五网,互联网,江苏,43.14,0.25,3.87,5.59,10.785,21.6333,8.970792767732963,9.37,11.17,1.6,4.58
600522,中天科技,通信设备,江苏,20.01,0.32,2.24,5.55,6.403200000000001,12.432,11.1944027986007,,14.31,3.68,7.75
000622,恒立实业,汽车配件,湖南,0.0,-0.019,13.64,0.46,-0.0,6.274400000000001,,-13.16,27.03,-1.47,-4.02
002370,亚太药业,化学制药,浙江,41.61,0.189,3.74,4.21,7.86429,15.7454,8.988223984619083,10.48,,2.12,
002332,仙琚制药,生物制药,浙江,47.75,0.08900000000000001,3.45,2.45,4.249750000000001,8.4525,7.225130890052356,4.67,,0.73,3.61
600803,新奥股份,农药化肥,河北,68.47,0.101,2.93,4.7,6.91547,13.771,4.279246385278224,4.49,11.65,,
000089,深圳机场,机场,深圳,28.11,0.155,1.62,5.36,4.35705,8.683200000000001,5.76307363927428,3.95,,,2.93
002013,中航机电,航空,湖北,73.28,0.075,3.47,3.17,5.4959999999999996,10.9999,4.735262008733624,,7.92,0.07,2.38
300494,盛天网络,互联网,湖北,63.18,0.175,5.81,3.81,11.0565,22.1361,9.195948084836974,8.36,12.9,2.86,4.62
002547,春兴精工,通信设备,江苏,104.58,0.05,3.25,2.74,5.229,8.905000000000001,3.1076687703193726,6.93,8.42,,1.4
000902,新洋丰,农药化肥,湖北,15.21,0.33,2.41,4.16,5.0193,10.0256,15.844838921761998,11.02,11.53,4.22,
002369,卓翼科技,通信设备,深圳,1429.51,0.003,2.47,3.64,4.28853,8.990800000000002,0.17278647928311103,0.71,1.25,-1.63,0.1
002283,天润曲轴,汽车配件,山东,28.28,0.119,2.06,3.28,3.36532,6.7568,7.284299858557284,3.64,5.62,,3.7
300096,易联众,软件服务,福建,0.0,-0.095,10.18,1.55,-0.0,15.779,,-1.38,1.49,,-5.94
000040,东旭蓝天,全国地产,深圳,65.0,0.113,1.78,8.3,7.345000000000001,14.774000000000001,2.7384615384615385,2.89,2.85,0.33,1.37
600795,国电电力,火力发电,辽宁,18.85,0.09,1.29,2.63,1.6965000000000001,3.3927,6.843501326259946,9.52,9.11,1.97,3.38
002084,海鸥卫浴,家居用品,广东,52.42,0.087,3.54,2.57,4.56054,9.0978,6.753147653567341,5.51,,1.38,3.32
002236,大华股份,电器仪表,浙江,35.33,0.339,7.66,3.13,11.97687,23.9758,21.681290687800736,15.35,24.8,,11.29
000055,方大集团,其他建材,深圳,20.74,0.193,4.09,1.96,4.00282,8.016399999999999,19.720347155255546,,38.83,,9.37
002291,星期六,服饰,广东,92.16,0.056,2.21,4.66,5.16096,10.2986,2.3980034722222223,1.05,,0.63,1.21
002488,金固股份,汽车配件,浙江,0.0,-0.12,2.12,5.96,-0.0,12.635200000000001,,-3.61,-9.21,-2.03,-2.87
300266,兴源环境,环境保护,浙江,60.85,0.255,10.13,3.07,15.51675,31.0991,16.64749383730485,,8.28,3.39,8.62
600493,凤竹纺织,纺织,福建,143.28,0.036000000000000004,4.15,2.51,5.158080000000001,10.4165,2.8964265773311,2.23,8.49,0.58,1.42
600883,博闻科技,水泥,云南,33.58,0.172,4.04,2.86,5.775759999999999,11.5544,12.030970815961883,3.41,2.16,5.69,
002423,中原特钢,特种钢,河南,0.0,-0.198,3.7,3.44,-0.0,12.728,,-5.03,0.28,-2.13,-5.59
002219,恒康医疗,中成药,甘肃,66.5,0.08900000000000001,5.18,2.28,5.918500000000001,11.810399999999998,7.7894736842105265,5.29,10.29,1.75,
002679,福建金森,林业,福建,0.0,-0.17800000000000002,4.49,5.06,-0.0,22.7194,,-0.87,3.5,,-3.0
000710,贝瑞基因,医疗保健,四川,0.0,-0.05,95.06,0.71,-0.0,67.4926,,-5.94,-3.62,-4.76,-6.67
002447,壹桥股份,渔业,辽宁,116.77,0.026,3.18,1.89,3.0360199999999997,6.0102,2.7233022180354545,5.42,11.78,0.41,
002668,奥马电器,家用电器,广东,34.81,0.58,4.03,5.11,20.189799999999998,20.593300000000003,11.577133007756391,14.5,16.17,1.83,
002177,御银股份,电脑设备,广东,128.56,0.024,2.73,2.23,3.08544,6.0879,2.12352209085252,2.01,1.4,1.02,
300311,任子行,软件服务,广东,77.06,0.103,5.48,2.88,7.93718,15.7824,7.111341811575396,6.1,9.32,0.85,3.57
002316,键桥通讯,软件服务,深圳,0.0,-0.103,6.44,2.08,-0.0,13.3952,,-3.13,0.3,-2.51,-4.83
600634,富控互动,互联网,上海,93.28,0.098,3.58,5.12,9.141440000000001,18.3296,3.8379073756432245,,6.4,,1.94
600022,山东钢铁,普钢,山东,22.51,0.07,1.61,1.52,1.5757000000000003,2.4472,7.15237672145713,0.15,-3.64,,3.65
002327,富安娜,纺织,深圳,23.59,0.19,2.64,3.25,4.4821,8.58,11.191182704535821,10.26,15.74,,5.73
000529,广弘控股,食品,广东,47.3,0.091,3.97,2.17,4.3043,8.6149,8.393234672304441,6.67,8.85,,4.42
600816,安信信托,多元金融,上海,17.54,0.354,4.01,3.1,6.20916,12.431,22.862029646522235,32.76,41.15,,11.76
600861,北京城乡,百货,北京,42.66,0.146,1.72,7.24,6.2283599999999995,12.4528,4.03187998124707,,3.81,,1.95
600272,开开实业,中成药,上海,102.47,0.067,7.03,1.96,6.86549,13.7788,6.86054454962428,,4.1,1.16,3.34
002338,奥普光电,电器仪表,吉林,90.94,0.11,6.29,3.18,10.0034,20.002200000000002,6.916648339564548,6.25,,1.76,3.42
300105,龙源技术,电器仪表,山东,1485.44,0.003,2.01,3.74,4.45632,7.517399999999999,0.1353134424816889,-2.63,-8.23,-0.47,0.07
000032,深桑达Ａ,元器件,深圳,115.24,0.06,4.02,3.44,6.9144,13.828799999999998,3.4883720930232553,,4.32,,1.75
002183,怡 亚 通,仓储物流,深圳,28.36,0.156,3.31,2.67,4.42416,8.8377,11.671368124118477,,,3.32,5.79
