code,name,industry,area,市盈率(pe),每股收益,市净率(pb),每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
300597,吉大通信,通信设备,吉林,156.52,0.056,5.98,2.93,8.76512,17.5214,3.820598007,9.52,14.12,,2.24
593,大通燃气,供气供热,四川,216.69,0.026,3.62,3.12,5.63394,11.2944,1.670589321,,,0.19,0.84
300006,莱美药业,化学制药,重庆,67.51,0.053,3.48,2.07,3.57803,7.2036,5.154791883,2.83,0.41,1.34,2.64
2553,南方轴承,汽车配件,江苏,46.37,0.127,6.13,1.92,5.88899,11.7696,13.21975415,9.02,10.72,3.24,6.49
600537,亿晶光电,半导体,浙江,108.68,0.025,1.8,3.04,2.717,5.472,1.656238498,13.03,12.45,,
300031,宝通科技,互联网,江苏,38.07,0.269,3.72,5.51,10.24083,20.4972,9.771473601,6.29,7.04,1.49,
2353,杰瑞股份,化工机械,山东,245.1,0.032,1.9,8.2,7.8432,15.58,0.775193798,1.34,1.54,0.29,0.39
300168,万达信息,软件服务,上海,204.4,0.037,6.83,2.22,7.5628,15.1626,3.34148728,4.11,11.3,0.19,
300220,金运激光,元器件,湖北,207.36,0.053,9.42,2.31,10.99008,21.7602,4.542824074,2.63,2.4,,2.3
2284,亚太股份,汽车配件,浙江,65.94,0.088,3.25,3.59,5.80272,11.6675,4.928723082,4.79,5.53,1.63,2.45
300134,大富科技,通信设备,深圳,0,-0.115,2.44,7.49,0,18.2756,,1.94,3.72,,-1.53
985,大庆华科,化工原料,黑龙江,109.19,0.125,6.81,4.01,13.64875,27.3081,6.236834875,,6.67,,3.12
2427,尤夫股份,化纤,浙江,43.56,0.309,4.61,5.83,13.46004,26.8763,10.58310376,5.31,7.8,,5.42
2018,华信国际,农药化肥,安徽,40.78,0.105,5.86,1.46,4.2819,8.5556,14.36978911,,12.03,,
2491,通鼎互联,通信设备,江苏,30.4,0.23,3.97,3.41,6.992,13.5377,13.05921053,0.15,19,2.95,7.77
300633,开立医疗,医疗保健,深圳,66.54,0.2,10.35,2.37,13.308,24.5295,15.55455365,8.9,20.31,1.39,9.02
2419,天虹股份,百货,深圳,16.8,0.468,2.22,7.1,7.8624,15.762,13.21428571,6.6,9.5,3.91,6.59
300001,特锐德,电气设备,山东,86.38,0.103,6.28,2.82,8.89714,17.7096,7.270201436,4.62,9.72,2.03,3.57
2159,三特索道,旅游服务,湖北,0,-0.242,4.51,5.67,0,25.5717,,-0.84,-6.11,-3.65,-4.17
2326,永太科技,化工原料,浙江,28.5,0.268,4.65,3.29,7.638,15.2985,16.31578947,6.37,14.02,6.9,
300559,佳发安泰,软件服务,四川,66.45,0.327,5.27,8.26,21.72915,43.5302,7.930775019,15.35,19.45,0.3,3.95
2485,希努尔,服饰,山东,0,-0.073,4.1,6.1,0,25.01,,,0.38,-0.64,-1.18
300442,普丽盛,轻工机械,上海,562.97,0.025,2.86,9.7,14.07425,27.742,0.508019966,,0.74,0.22,0.25
2766,索菱股份,汽车配件,深圳,74.51,0.136,4.76,4.24,10.13336,20.1824,6.388404241,6.16,7.66,2.04,4.05
300611,美力科技,机械基件,浙江,83.52,0.119,5.53,3.61,9.93888,19.9633,6.621168582,8.41,13.92,2.38,3.67
300310,宜通世纪,通信设备,广东,55.52,0.13,3.17,4.11,7.2176,13.0287,5.709654179,8.2,8.75,2.05,4.15
300319,麦捷科技,元器件,深圳,72.06,0.061,2.78,3.18,4.39566,8.8404,3.857896198,,,0.77,
2304,洋河股份,白酒,江苏,18.67,2.593,5.45,17.78,48.41131,96.901,29.19121585,20.04,24.01,10,
300671,富满电子,半导体,深圳,88.34,0.29,8.35,4.57,25.6186,38.1595,9.452116821,,15.42,3.02,
513,丽珠集团,中成药,广东,27.36,0.911,4.02,12.4,24.92496,49.848,14.69298246,13.25,15.48,4.14,7.42
300420,五洋科技,机械基件,江苏,56.82,0.091,4.31,2.4,5.17062,10.344,7.585357269,5.53,7.51,0.88,3.86
2330,得利斯,食品,山东,1957.33,0.002,3.32,2.63,3.91466,8.7316,0.169618817,1.06,,0.58,0.08
300110,华仁药业,化学制药,山东,637.72,0.009,7.38,1.48,5.73948,10.9224,1.157247695,0.98,1.65,,0.55
2730,电光科技,电气设备,浙江,101.49,0.073,5.56,2.68,7.40877,14.9008,5.478372253,3.36,,0.57,
2079,苏州固锝,半导体,江苏,60.05,0.074,4.34,2.03,4.4437,8.8102,7.227310575,5.84,8.06,1.28,3.63
300253,卫宁健康,软件服务,上海,74.44,0.056,5.5,1.51,4.16864,8.305,7.388500806,26.27,,1.09,3.74
300328,宜安科技,铝,广东,118.83,0.051,6.71,1.82,6.06033,12.2122,5.646722208,2.59,4.47,1.44,
300330,华虹计通,软件服务,上海,0,-0.047,5.78,2.22,0,12.8316,,,-7.21,,-2.07
2702,海欣食品,食品,福建,0,-0.034,4.79,1.53,0,7.3287,,1.08,,,-2.23
600423,*ST柳化,农药化肥,广西,0,-0.22,-21.19,-0.27,0,5.7213,,-75.57,nan,-976.74,nan
300604,长川科技,专用机械,浙江,112.6,0.27,9.97,5.02,30.402,50.0494,8.854351687,,20.38,1.85,6.13
2179,中航光电,元器件,河南,31.21,0.56,6.12,5.69,17.4776,34.8228,19.60909965,14.46,19.57,,10.25
600838,上海九百,百货,上海,51.29,0.125,4.25,3.02,6.41125,12.835,8.286215637,13.21,15.04,1.76,3.97
2254,泰和新材,化纤,山东,63.65,0.101,3.81,3.37,6.42865,12.8397,5.985860173,2.51,,1.39,3.04
300486,东杰智能,专用机械,山西,65.68,0.191,5.43,4.62,12.54488,25.0866,8.267356882,,-7.47,,4.26
600130,波导股份,通信设备,浙江,0,-0.038,5.63,1.26,0,7.0938,,,,,-2.97
600764,中电广通,通信设备,北京,220.2,0.088,23.75,1.64,19.3776,38.95,10.78564941,,1.47,2.71,
600560,金自天正,电气设备,北京,127.51,0.051,3.96,3.28,6.50301,12.9888,3.105638773,2.04,,0.87,1.55
2023,海特高新,航空,四川,187.41,0.03,2.41,4.75,5.6223,11.4475,1.28595059,1.32,1.23,0.3,
600171,上海贝岭,半导体,上海,35.09,0.198,4.77,2.92,6.94782,13.9284,13.59361641,2.12,2.05,0.81,7.01
952,广济药业,化学制药,湖北,40.62,0.201,5.85,2.8,8.16462,16.38,14.40177253,21.72,,4.66,
100,TCL 集团,家用电器,广东,21.5,0.085,1.88,1.94,1.8275,3.6472,8.744186047,6.21,,,4.47
